;set_id;ver_id;qry_text;qry_base;qry_type;qry_expansion;qry_rank
62383;1009;0;queen bohemian rhapsody reaction;ARTIST_TITLE;INDIV;reaction;4
62433;1009;0;bohemian rhapsody live;TITLE;INDIV;live;4
62483;1009;0;queen bohemian rhapsody reaction;ARTIST_TITLE;UNIV;reaction;4
62533;1009;0;bohemian rhapsody reaction;TITLE;UNIV;reaction;4
62583;1009;0;queen bohemian rhapsody cover;ARTIST_TITLE;INDIV;cover;5
62633;1009;0;bohemian rhapsody cover;TITLE;INDIV;cover;5
62683;1009;0;queen bohemian rhapsody remix;ARTIST_TITLE;UNIV;remix;5
62733;1009;0;bohemian rhapsody remix;TITLE;UNIV;remix;5
62783;1009;0;queen bohemian rhapsody speed up;ARTIST_TITLE;INDIV;speed up;6
62833;1009;0;bohemian rhapsody movie;TITLE;INDIV;movie;6
62883;1009;0;queen bohemian rhapsody piano;ARTIST_TITLE;UNIV;piano;6
62933;1009;0;bohemian rhapsody piano;TITLE;UNIV;piano;6
62983;1009;0;queen bohemian rhapsody live aid;ARTIST_TITLE;INDIV;live aid;7
63033;1009;0;bohemian rhapsody queen;TITLE;INDIV;queen;7
63083;1009;0;queen bohemian rhapsody instrumental;ARTIST_TITLE;UNIV;instrumental;7
63133;1009;0;bohemian rhapsody instrumental;TITLE;UNIV;instrumental;7
63183;1009;0;queen bohemian rhapsody movie;ARTIST_TITLE;INDIV;movie;8
63233;1009;0;bohemian rhapsody live aid;TITLE;INDIV;live aid;8
63283;1009;0;queen bohemian rhapsody guitar;ARTIST_TITLE;UNIV;guitar;8
63333;1009;0;bohemian rhapsody guitar;TITLE;UNIV;guitar;8
63383;1009;0;queen bohemian rhapsody slowed;ARTIST_TITLE;INDIV;slowed;9
63433;1009;0;bohemian rhapsody trailer;TITLE;INDIV;trailer;9
63483;1009;0;queen bohemian rhapsody guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
63533;1009;0;bohemian rhapsody guitar lesson;TITLE;UNIV;guitar lesson;9
63583;1009;0;queen bohemian rhapsody guitar solo;ARTIST_TITLE;INDIV;guitar solo;10
63633;1009;0;bohemian rhapsody piano tutorial;TITLE;INDIV;piano tutorial;10
63683;1009;0;queen bohemian rhapsody hq;ARTIST_TITLE;UNIV;hq;10
63733;1009;0;bohemian rhapsody hq;TITLE;UNIV;hq;10
63783;1009;0;queen bohemian rhapsody piano tutorial;ARTIST_TITLE;INDIV;piano tutorial;11
63833;1009;0;bohemian rhapsody muppets;TITLE;INDIV;muppets;11
63883;1009;0;queen bohemian rhapsody text;ARTIST_TITLE;UNIV;text;11
63933;1009;0;bohemian rhapsody text;TITLE;UNIV;text;11
63983;1009;0;queen bohemian rhapsody instrumental;ARTIST_TITLE;INDIV;instrumental;12
64033;1009;0;bohemian rhapsody guitar solo;TITLE;INDIV;guitar solo;12
64083;1009;0;queen bohemian rhapsody remastered;ARTIST_TITLE;UNIV;remastered;12
64133;1009;0;bohemian rhapsody remastered;TITLE;UNIV;remastered;12
64183;1009;0;queen bohemian rhapsody chords;ARTIST_TITLE;UNIV;chords;13
64233;1009;0;bohemian rhapsody chords;TITLE;UNIV;chords;13
64283;1009;0;queen bohemian rhapsody full album;ARTIST_TITLE;UNIV;full album;14
64333;1009;0;bohemian rhapsody full album;TITLE;UNIV;full album;14
64383;1035;0;the everly brothers love hurts;ARTIST_TITLE;BASE;;0
64433;1035;0;love hurts;TITLE;BASE;;0
64483;1035;0;the everly brothers love hurts live;ARTIST_TITLE;INDIV;live;0
64533;1035;0;love hurts nazareth;TITLE;INDIV;nazareth;0
64583;1035;0;the everly brothers love hurts lyrics;ARTIST_TITLE;UNIV;lyrics;0
64633;1035;0;love hurts lyrics;TITLE;UNIV;lyrics;0
64683;1035;0;the everly brothers love hurts lyrics;ARTIST_TITLE;INDIV;lyrics;1
64733;1035;0;love hurts lil tjay lyrics;TITLE;INDIV;lil tjay lyrics;1
64783;1035;0;the everly brothers love hurts live;ARTIST_TITLE;UNIV;live;1
64833;1035;0;love hurts live;TITLE;UNIV;live;1
64883;1035;0;the everly brothers love hurts chords;ARTIST_TITLE;INDIV;chords;2
64933;1035;0;love hurts lil tjay;TITLE;INDIV;lil tjay;2
64983;1035;0;the everly brothers love hurts cover;ARTIST_TITLE;UNIV;cover;2
65033;1035;0;love hurts cover;TITLE;UNIV;cover;2
65083;1035;0;the everly brothers love hurts the everly brothers - love hurts 1960;ARTIST_TITLE;INDIV;the everly brothers - love hurts 1960;3
65133;1035;0;love hurts lyrics;TITLE;INDIV;lyrics;3
65183;1035;0;the everly brothers love hurts karaoke;ARTIST_TITLE;UNIV;karaoke;3
65233;1035;0;love hurts karaoke;TITLE;UNIV;karaoke;3
65283;1035;0;the everly brothers love hurts everly brothers love hurts karaoke;ARTIST_TITLE;INDIV;everly brothers love hurts karaoke;4
65333;1035;0;love hurts incubus;TITLE;INDIV;incubus;4
65383;1035;0;the everly brothers love hurts reaction;ARTIST_TITLE;UNIV;reaction;4
65433;1035;0;love hurts reaction;TITLE;UNIV;reaction;4
65483;1035;0;the everly brothers love hurts everly brothers love hurts reaction;ARTIST_TITLE;INDIV;everly brothers love hurts reaction;5
65533;1035;0;love hurts karaoke;TITLE;INDIV;karaoke;5
65583;1035;0;the everly brothers love hurts remix;ARTIST_TITLE;UNIV;remix;5
65633;1035;0;love hurts remix;TITLE;UNIV;remix;5
65683;1035;0;the everly brothers love hurts everly brothers love hurts hq;ARTIST_TITLE;INDIV;everly brothers love hurts hq;6
65733;1035;0;love hurts playboi carti;TITLE;INDIV;playboi carti;6
65783;1035;0;the everly brothers love hurts piano;ARTIST_TITLE;UNIV;piano;6
65833;1035;0;love hurts piano;TITLE;UNIV;piano;6
65883;1035;0;the everly brothers love hurts everly brothers love hurts subtitulada;ARTIST_TITLE;INDIV;everly brothers love hurts subtitulada;7
65933;1035;0;love hurts dax;TITLE;INDIV;dax;7
65983;1035;0;the everly brothers love hurts instrumental;ARTIST_TITLE;UNIV;instrumental;7
66033;1035;0;love hurts instrumental;TITLE;UNIV;instrumental;7
66083;1035;0;love hurts everly brothers;TITLE;INDIV;everly brothers;8
66133;1035;0;the everly brothers love hurts guitar;ARTIST_TITLE;UNIV;guitar;8
66183;1035;0;love hurts guitar;TITLE;UNIV;guitar;8
66233;1035;0;love hurts nazareth lyrics;TITLE;INDIV;nazareth lyrics;9
66283;1035;0;the everly brothers love hurts guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
66333;1035;0;love hurts guitar lesson;TITLE;UNIV;guitar lesson;9
66383;1035;0;love hurts remix;TITLE;INDIV;remix;10
66433;1035;0;the everly brothers love hurts hq;ARTIST_TITLE;UNIV;hq;10
66483;1035;0;love hurts hq;TITLE;UNIV;hq;10
66533;1035;0;love hurts roy orbison;TITLE;INDIV;roy orbison;11
66583;1035;0;the everly brothers love hurts text;ARTIST_TITLE;UNIV;text;11
66633;1035;0;love hurts text;TITLE;UNIV;text;11
66683;1035;0;love hurts payaso915 letra;TITLE;INDIV;payaso915 letra;12
66733;1035;0;the everly brothers love hurts remastered;ARTIST_TITLE;UNIV;remastered;12
66783;1035;0;love hurts remastered;TITLE;UNIV;remastered;12
66833;1035;0;the everly brothers love hurts chords;ARTIST_TITLE;UNIV;chords;13
66883;1035;0;love hurts chords;TITLE;UNIV;chords;13
66933;1035;0;the everly brothers love hurts full album;ARTIST_TITLE;UNIV;full album;14
66983;1035;0;love hurts full album;TITLE;UNIV;full album;14
67033;1074;0;roy orbison and the candy men oh, pretty woman;ARTIST_TITLE;BASE;;0
67083;1074;0;oh, pretty woman;TITLE;BASE;;0
67133;1074;0;oh, pretty woman roy orbison;TITLE;INDIV;roy orbison;0
67183;1074;0;roy orbison and the candy men oh, pretty woman lyrics;ARTIST_TITLE;UNIV;lyrics;0
67233;1074;0;oh, pretty woman lyrics;TITLE;UNIV;lyrics;0
67283;1074;0;oh, pretty woman van halen;TITLE;INDIV;van halen;1
67333;1074;0;roy orbison and the candy men oh, pretty woman live;ARTIST_TITLE;UNIV;live;1
67383;1074;0;oh, pretty woman live;TITLE;UNIV;live;1
67433;1074;0;oh, pretty woman lyrics;TITLE;INDIV;lyrics;2
67483;1074;0;roy orbison and the candy men oh, pretty woman cover;ARTIST_TITLE;UNIV;cover;2
67533;1074;0;oh, pretty woman cover;TITLE;UNIV;cover;2
67583;1074;0;oh, pretty woman gary moore;TITLE;INDIV;gary moore;3
67633;1074;0;roy orbison and the candy men oh, pretty woman karaoke;ARTIST_TITLE;UNIV;karaoke;3
67683;1074;0;oh, pretty woman karaoke;TITLE;UNIV;karaoke;3
67733;1074;0;oh, pretty woman pomplamoose;TITLE;INDIV;pomplamoose;4
67783;1074;0;roy orbison and the candy men oh, pretty woman reaction;ARTIST_TITLE;UNIV;reaction;4
67833;1074;0;oh, pretty woman reaction;TITLE;UNIV;reaction;4
67883;1074;0;oh, pretty woman albert king;TITLE;INDIV;albert king;5
67933;1074;0;roy orbison and the candy men oh, pretty woman remix;ARTIST_TITLE;UNIV;remix;5
67983;1074;0;oh, pretty woman remix;TITLE;UNIV;remix;5
68033;1074;0;oh, pretty woman guitar lesson;TITLE;INDIV;guitar lesson;6
68083;1074;0;roy orbison and the candy men oh, pretty woman piano;ARTIST_TITLE;UNIV;piano;6
68133;1074;0;oh, pretty woman piano;TITLE;UNIV;piano;6
68183;1074;0;oh, pretty woman karaoke;TITLE;INDIV;karaoke;7
68233;1074;0;roy orbison and the candy men oh, pretty woman instrumental;ARTIST_TITLE;UNIV;instrumental;7
68283;1074;0;oh, pretty woman instrumental;TITLE;UNIV;instrumental;7
68333;1074;0;oh, pretty woman cover;TITLE;INDIV;cover;8
68383;1074;0;roy orbison and the candy men oh, pretty woman guitar;ARTIST_TITLE;UNIV;guitar;8
68433;1074;0;oh, pretty woman guitar;TITLE;UNIV;guitar;8
68483;1074;0;oh, pretty woman roy orbison lyrics;TITLE;INDIV;roy orbison lyrics;9
68533;1074;0;roy orbison and the candy men oh, pretty woman guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
68583;1074;0;oh, pretty woman guitar lesson;TITLE;UNIV;guitar lesson;9
68633;1074;0;oh, pretty woman live;TITLE;INDIV;live;10
68683;1074;0;roy orbison and the candy men oh, pretty woman hq;ARTIST_TITLE;UNIV;hq;10
68733;1074;0;oh, pretty woman hq;TITLE;UNIV;hq;10
68783;1074;0;oh, pretty woman joe bonamassa;TITLE;INDIV;joe bonamassa;11
68833;1074;0;roy orbison and the candy men oh, pretty woman text;ARTIST_TITLE;UNIV;text;11
68883;1074;0;oh, pretty woman text;TITLE;UNIV;text;11
68933;1074;0;oh, pretty woman reaction;TITLE;INDIV;reaction;12
68983;1074;0;roy orbison and the candy men oh, pretty woman remastered;ARTIST_TITLE;UNIV;remastered;12
69033;1074;0;oh, pretty woman remastered;TITLE;UNIV;remastered;12
69083;1074;0;roy orbison and the candy men oh, pretty woman chords;ARTIST_TITLE;UNIV;chords;13
69133;1074;0;oh, pretty woman chords;TITLE;UNIV;chords;13
69183;1074;0;roy orbison and the candy men oh, pretty woman full album;ARTIST_TITLE;UNIV;full album;14
69233;1074;0;oh, pretty woman full album;TITLE;UNIV;full album;14
69283;1163;0;liza minnelli new york, new york;ARTIST_TITLE;BASE;;0
69333;1163;0;new york, new york;TITLE;BASE;;0
69383;1163;0;liza minnelli new york, new york live;ARTIST_TITLE;INDIV;live;0
69433;1163;0;new york, new york new york new york;TITLE;INDIV;new york new york;0
69483;1163;0;liza minnelli new york, new york lyrics;ARTIST_TITLE;UNIV;lyrics;0
69533;1163;0;new york, new york lyrics;TITLE;UNIV;lyrics;0
69583;1163;0;liza minnelli new york, new york 2001;ARTIST_TITLE;INDIV;2001;1
69633;1163;0;new york, new york new york new york dogg pound;TITLE;INDIV;new york new york dogg pound;1
69683;1163;0;liza minnelli new york, new york live;ARTIST_TITLE;UNIV;live;1
69733;1163;0;new york, new york live;TITLE;UNIV;live;1
69783;1163;0;liza minnelli new york, new york best version;ARTIST_TITLE;INDIV;best version;2
69833;1163;0;new york, new york new york new york roller coaster;TITLE;INDIV;new york new york roller coaster;2
69883;1163;0;liza minnelli new york, new york cover;ARTIST_TITLE;UNIV;cover;2
69933;1163;0;new york, new york cover;TITLE;UNIV;cover;2
69983;1163;0;liza minnelli new york, new york movie;ARTIST_TITLE;INDIV;movie;3
70033;1163;0;new york, new york new york new york karaoke;TITLE;INDIV;new york new york karaoke;3
70083;1163;0;liza minnelli new york, new york karaoke;ARTIST_TITLE;UNIV;karaoke;3
70133;1163;0;new york, new york karaoke;TITLE;UNIV;karaoke;3
70183;1163;0;liza minnelli new york, new york frank sinatra;ARTIST_TITLE;INDIV;frank sinatra;4
70233;1163;0;new york, new york new york new york las vegas;TITLE;INDIV;new york new york las vegas;4
70283;1163;0;liza minnelli new york, new york reaction;ARTIST_TITLE;UNIV;reaction;4
70333;1163;0;new york, new york reaction;TITLE;UNIV;reaction;4
70383;1163;0;liza minnelli new york, new york lyrics;ARTIST_TITLE;INDIV;lyrics;5
70433;1163;0;new york, new york new york new york remix;TITLE;INDIV;new york new york remix;5
70483;1163;0;liza minnelli new york, new york remix;ARTIST_TITLE;UNIV;remix;5
70533;1163;0;new york, new york remix;TITLE;UNIV;remix;5
70583;1163;0;liza minnelli new york, new york karaoke;ARTIST_TITLE;INDIV;karaoke;6
70633;1163;0;new york, new york karaoke;TITLE;INDIV;karaoke;6
70683;1163;0;liza minnelli new york, new york piano;ARTIST_TITLE;UNIV;piano;6
70733;1163;0;new york, new york piano;TITLE;UNIV;piano;6
70783;1163;0;liza minnelli new york, new york reaction;ARTIST_TITLE;INDIV;reaction;7
70833;1163;0;new york, new york lyrics;TITLE;INDIV;lyrics;7
70883;1163;0;liza minnelli new york, new york instrumental;ARTIST_TITLE;UNIV;instrumental;7
70933;1163;0;new york, new york instrumental;TITLE;UNIV;instrumental;7
70983;1163;0;liza minnelli new york, new york 9/11;ARTIST_TITLE;INDIV;9/11;8
71033;1163;0;new york, new york new york new york lyrics;TITLE;INDIV;new york new york lyrics;8
71083;1163;0;liza minnelli new york, new york guitar;ARTIST_TITLE;UNIV;guitar;8
71133;1163;0;new york, new york guitar;TITLE;UNIV;guitar;8
71183;1163;0;liza minnelli new york, new york rosie;ARTIST_TITLE;INDIV;rosie;9
71233;1163;0;new york, new york new york new york liza minnelli;TITLE;INDIV;new york new york liza minnelli;9
71283;1163;0;liza minnelli new york, new york guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
71333;1163;0;new york, new york guitar lesson;TITLE;UNIV;guitar lesson;9
71383;1163;0;liza minnelli new york, new york super bowl;ARTIST_TITLE;INDIV;super bowl;10
71433;1163;0;new york, new york new york new york kurupt;TITLE;INDIV;new york new york kurupt;10
71483;1163;0;liza minnelli new york, new york hq;ARTIST_TITLE;UNIV;hq;10
71533;1163;0;new york, new york hq;TITLE;UNIV;hq;10
71583;1163;0;liza minnelli new york, new york cabaret;ARTIST_TITLE;INDIV;cabaret;11
71633;1163;0;new york, new york new york new york song;TITLE;INDIV;new york new york song;11
71683;1163;0;liza minnelli new york, new york text;ARTIST_TITLE;UNIV;text;11
71733;1163;0;new york, new york text;TITLE;UNIV;text;11
71783;1163;0;liza minnelli new york, new york paris;ARTIST_TITLE;INDIV;paris;12
71833;1163;0;new york, new york remix;TITLE;INDIV;remix;12
71883;1163;0;liza minnelli new york, new york remastered;ARTIST_TITLE;UNIV;remastered;12
71933;1163;0;new york, new york remastered;TITLE;UNIV;remastered;12
71983;1163;0;liza minnelli new york, new york chords;ARTIST_TITLE;UNIV;chords;13
72033;1163;0;new york, new york chords;TITLE;UNIV;chords;13
72083;1163;0;liza minnelli new york, new york full album;ARTIST_TITLE;UNIV;full album;14
72133;1163;0;new york, new york full album;TITLE;UNIV;full album;14
72183;1205;0;david bowie and john hutchinson space oddity;ARTIST_TITLE;BASE;;0
72233;1205;0;space oddity;TITLE;BASE;;0
72283;1205;0;david bowie and john hutchinson space oddity lyrics;ARTIST_TITLE;INDIV;lyrics;0
72333;1205;0;space oddity david bowie;TITLE;INDIV;david bowie;0
72383;1205;0;david bowie and john hutchinson space oddity lyrics;ARTIST_TITLE;UNIV;lyrics;0
72433;1205;0;space oddity lyrics;TITLE;UNIV;lyrics;0
72483;1205;0;david bowie and john hutchinson space oddity chords;ARTIST_TITLE;INDIV;chords;1
72533;1205;0;space oddity cover;TITLE;INDIV;cover;1
72583;1205;0;david bowie and john hutchinson space oddity live;ARTIST_TITLE;UNIV;live;1
72633;1205;0;space oddity live;TITLE;UNIV;live;1
72683;1205;0;space oddity chris hadfield;TITLE;INDIV;chris hadfield;2
72733;1205;0;david bowie and john hutchinson space oddity cover;ARTIST_TITLE;UNIV;cover;2
72783;1205;0;space oddity cover;TITLE;UNIV;cover;2
72833;1205;0;space oddity karaoke;TITLE;INDIV;karaoke;3
72883;1205;0;david bowie and john hutchinson space oddity karaoke;ARTIST_TITLE;UNIV;karaoke;3
72932;1205;0;space oddity karaoke;TITLE;UNIV;karaoke;3
72982;1205;0;space oddity guitar lesson;TITLE;INDIV;guitar lesson;4
73032;1205;0;david bowie and john hutchinson space oddity reaction;ARTIST_TITLE;UNIV;reaction;4
73082;1205;0;space oddity reaction;TITLE;UNIV;reaction;4
73132;1205;0;space oddity lyrics;TITLE;INDIV;lyrics;5
73182;1205;0;david bowie and john hutchinson space oddity remix;ARTIST_TITLE;UNIV;remix;5
73232;1205;0;space oddity remix;TITLE;UNIV;remix;5
73282;1205;0;space oddity piano;TITLE;INDIV;piano;6
73332;1205;0;david bowie and john hutchinson space oddity piano;ARTIST_TITLE;UNIV;piano;6
73382;1205;0;space oddity piano;TITLE;UNIV;piano;6
73432;1205;0;space oddity david matthews;TITLE;INDIV;david matthews;7
73482;1205;0;david bowie and john hutchinson space oddity instrumental;ARTIST_TITLE;UNIV;instrumental;7
73532;1205;0;space oddity instrumental;TITLE;UNIV;instrumental;7
73582;1205;0;space oddity live;TITLE;INDIV;live;8
73632;1205;0;david bowie and john hutchinson space oddity guitar;ARTIST_TITLE;UNIV;guitar;8
73682;1205;0;space oddity guitar;TITLE;UNIV;guitar;8
73732;1205;0;space oddity reaction;TITLE;INDIV;reaction;9
73782;1205;0;david bowie and john hutchinson space oddity guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
73832;1205;0;space oddity guitar lesson;TITLE;UNIV;guitar lesson;9
73882;1205;0;space oddity remix;TITLE;INDIV;remix;10
73932;1205;0;david bowie and john hutchinson space oddity hq;ARTIST_TITLE;UNIV;hq;10
73982;1205;0;space oddity hq;TITLE;UNIV;hq;10
74032;1205;0;space oddity guitar;TITLE;INDIV;guitar;11
74082;1205;0;david bowie and john hutchinson space oddity text;ARTIST_TITLE;UNIV;text;11
74103;1205;0;space oddity text;TITLE;UNIV;text;11
74153;1205;0;space oddity walter mitty;TITLE;INDIV;walter mitty;12
74203;1205;0;david bowie and john hutchinson space oddity remastered;ARTIST_TITLE;UNIV;remastered;12
74253;1205;0;space oddity remastered;TITLE;UNIV;remastered;12
74303;1205;0;david bowie and john hutchinson space oddity chords;ARTIST_TITLE;UNIV;chords;13
74353;1205;0;space oddity chords;TITLE;UNIV;chords;13
74403;1205;0;david bowie and john hutchinson space oddity full album;ARTIST_TITLE;UNIV;full album;14
74453;1205;0;space oddity full album;TITLE;UNIV;full album;14
74503;1210;0;ac/dc highway to hell;ARTIST_TITLE;BASE;;0
74553;1210;0;highway to hell;TITLE;BASE;;0
74603;1210;0;highway to hell ac dc;TITLE;INDIV;ac dc;0
74653;1210;0;ac/dc highway to hell lyrics;ARTIST_TITLE;UNIV;lyrics;0
74703;1210;0;highway to hell lyrics;TITLE;UNIV;lyrics;0
74753;1210;0;highway to hell lyrics;TITLE;INDIV;lyrics;1
74803;1210;0;ac/dc highway to hell live;ARTIST_TITLE;UNIV;live;1
74853;1210;0;highway to hell live;TITLE;UNIV;live;1
74903;1210;0;highway to hell guitar lesson;TITLE;INDIV;guitar lesson;2
74953;1210;0;ac/dc highway to hell cover;ARTIST_TITLE;UNIV;cover;2
75003;1210;0;highway to hell cover;TITLE;UNIV;cover;2
75053;1210;0;highway to hell live;TITLE;INDIV;live;3
75103;1210;0;ac/dc highway to hell karaoke;ARTIST_TITLE;UNIV;karaoke;3
75153;1210;0;highway to hell karaoke;TITLE;UNIV;karaoke;3
75203;1210;0;highway to hell cover;TITLE;INDIV;cover;4
75253;1210;0;ac/dc highway to hell reaction;ARTIST_TITLE;UNIV;reaction;4
75303;1210;0;highway to hell reaction;TITLE;UNIV;reaction;4
75353;1210;0;highway to hell karaoke;TITLE;INDIV;karaoke;5
75403;1210;0;ac/dc highway to hell remix;ARTIST_TITLE;UNIV;remix;5
75453;1210;0;highway to hell remix;TITLE;UNIV;remix;5
75503;1210;0;highway to hell the voice;TITLE;INDIV;the voice;6
75553;1210;0;ac/dc highway to hell piano;ARTIST_TITLE;UNIV;piano;6
75603;1210;0;highway to hell piano;TITLE;UNIV;piano;6
75653;1210;0;highway to hell audition;TITLE;INDIV;audition;7
75703;1210;0;ac/dc highway to hell instrumental;ARTIST_TITLE;UNIV;instrumental;7
75753;1210;0;highway to hell instrumental;TITLE;UNIV;instrumental;7
75803;1210;0;highway to hell reaction;TITLE;INDIV;reaction;8
75853;1210;0;ac/dc highway to hell guitar;ARTIST_TITLE;UNIV;guitar;8
75903;1210;0;highway to hell guitar;TITLE;UNIV;guitar;8
75953;1210;0;highway to hell guitar;TITLE;INDIV;guitar;9
76003;1210;0;ac/dc highway to hell guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
76053;1210;0;highway to hell guitar lesson;TITLE;UNIV;guitar lesson;9
76103;1210;0;highway to hell backing track;TITLE;INDIV;backing track;10
76153;1210;0;ac/dc highway to hell hq;ARTIST_TITLE;UNIV;hq;10
76203;1210;0;highway to hell hq;TITLE;UNIV;hq;10
76253;1210;0;highway to hell album;TITLE;INDIV;album;11
76303;1210;0;ac/dc highway to hell text;ARTIST_TITLE;UNIV;text;11
76353;1210;0;highway to hell text;TITLE;UNIV;text;11
76403;1210;0;highway to hell instrumental;TITLE;INDIV;instrumental;12
76453;1210;0;ac/dc highway to hell remastered;ARTIST_TITLE;UNIV;remastered;12
76503;1210;0;highway to hell remastered;TITLE;UNIV;remastered;12
76553;1210;0;ac/dc highway to hell chords;ARTIST_TITLE;UNIV;chords;13
76603;1210;0;highway to hell chords;TITLE;UNIV;chords;13
76653;1210;0;ac/dc highway to hell full album;ARTIST_TITLE;UNIV;full album;14
76703;1210;0;highway to hell full album;TITLE;UNIV;full album;14
76753;1211;0;deep purple smoke on the water;ARTIST_TITLE;BASE;;0
76803;1211;0;smoke on the water;TITLE;BASE;;0
76853;1211;0;deep purple smoke on the water live;ARTIST_TITLE;INDIV;live;0
76903;1211;0;smoke on the water deep purple;TITLE;INDIV;deep purple;0
76953;1211;0;deep purple smoke on the water lyrics;ARTIST_TITLE;UNIV;lyrics;0
77003;1211;0;smoke on the water lyrics;TITLE;UNIV;lyrics;0
77053;1211;0;deep purple smoke on the water lyrics;ARTIST_TITLE;INDIV;lyrics;1
77103;1211;0;smoke on the water guitar;TITLE;INDIV;guitar;1
77153;1211;0;deep purple smoke on the water live;ARTIST_TITLE;UNIV;live;1
77203;1211;0;smoke on the water live;TITLE;UNIV;live;1
77253;1211;0;deep purple smoke on the water guitar lesson;ARTIST_TITLE;INDIV;guitar lesson;2
77303;1211;0;smoke on the water guitar lesson;TITLE;INDIV;guitar lesson;2
77353;1211;0;deep purple smoke on the water cover;ARTIST_TITLE;UNIV;cover;2
77403;1211;0;smoke on the water cover;TITLE;UNIV;cover;2
77453;1211;0;deep purple smoke on the water reaction;ARTIST_TITLE;INDIV;reaction;3
77503;1211;0;smoke on the water lyrics;TITLE;INDIV;lyrics;3
77553;1211;0;deep purple smoke on the water karaoke;ARTIST_TITLE;UNIV;karaoke;3
77603;1211;0;smoke on the water karaoke;TITLE;UNIV;karaoke;3
77653;1211;0;deep purple smoke on the water made in japan;ARTIST_TITLE;INDIV;made in japan;4
77703;1211;0;smoke on the water live;TITLE;INDIV;live;4
77753;1211;0;deep purple smoke on the water reaction;ARTIST_TITLE;UNIV;reaction;4
77803;1211;0;smoke on the water reaction;TITLE;UNIV;reaction;4
77853;1211;0;deep purple smoke on the water live 1972;ARTIST_TITLE;INDIV;live 1972;5
77903;1211;0;smoke on the water bass;TITLE;INDIV;bass;5
77953;1211;0;deep purple smoke on the water remix;ARTIST_TITLE;UNIV;remix;5
78003;1211;0;smoke on the water remix;TITLE;UNIV;remix;5
78053;1211;0;deep purple smoke on the water karaoke;ARTIST_TITLE;INDIV;karaoke;6
78103;1211;0;smoke on the water solo;TITLE;INDIV;solo;6
78153;1211;0;deep purple smoke on the water piano;ARTIST_TITLE;UNIV;piano;6
78203;1211;0;smoke on the water piano;TITLE;UNIV;piano;6
78253;1211;0;deep purple smoke on the water guitar cover;ARTIST_TITLE;INDIV;guitar cover;7
78303;1211;0;smoke on the water band;TITLE;INDIV;band;7
78353;1211;0;deep purple smoke on the water instrumental;ARTIST_TITLE;UNIV;instrumental;7
78403;1211;0;smoke on the water instrumental;TITLE;UNIV;instrumental;7
78453;1211;0;deep purple smoke on the water live in japan;ARTIST_TITLE;INDIV;live in japan;8
78503;1211;0;smoke on the water backing track;TITLE;INDIV;backing track;8
78553;1211;0;deep purple smoke on the water guitar;ARTIST_TITLE;UNIV;guitar;8
78603;1211;0;smoke on the water guitar;TITLE;UNIV;guitar;8
78653;1211;0;deep purple smoke on the water guitar;ARTIST_TITLE;INDIV;guitar;9
78703;1211;0;smoke on the water cover;TITLE;INDIV;cover;9
78753;1211;0;deep purple smoke on the water guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
78803;1211;0;smoke on the water guitar lesson;TITLE;UNIV;guitar lesson;9
78853;1211;0;deep purple smoke on the water hq;ARTIST_TITLE;INDIV;hq;10
78903;1211;0;smoke on the water karaoke;TITLE;INDIV;karaoke;10
78953;1211;0;deep purple smoke on the water hq;ARTIST_TITLE;UNIV;hq;10
79003;1211;0;smoke on the water hq;TITLE;UNIV;hq;10
79053;1211;0;deep purple smoke on the water cover;ARTIST_TITLE;INDIV;cover;11
79103;1211;0;smoke on the water piano;TITLE;INDIV;piano;11
79153;1211;0;deep purple smoke on the water text;ARTIST_TITLE;UNIV;text;11
79203;1211;0;smoke on the water text;TITLE;UNIV;text;11
79253;1211;0;deep purple smoke on the water drum cover;ARTIST_TITLE;INDIV;drum cover;12
79303;1211;0;smoke on the water instrumental;TITLE;INDIV;instrumental;12
79353;1211;0;deep purple smoke on the water remastered;ARTIST_TITLE;UNIV;remastered;12
79403;1211;0;smoke on the water remastered;TITLE;UNIV;remastered;12
79453;1211;0;deep purple smoke on the water chords;ARTIST_TITLE;UNIV;chords;13
79503;1211;0;smoke on the water chords;TITLE;UNIV;chords;13
79553;1211;0;deep purple smoke on the water full album;ARTIST_TITLE;UNIV;full album;14
79603;1211;0;smoke on the water full album;TITLE;UNIV;full album;14
79653;1241;0;10cc i'm not in love;ARTIST_TITLE;BASE;;0
79703;1241;0;i'm not in love;TITLE;BASE;;0
79753;1241;0;10cc i'm not in love lyrics;ARTIST_TITLE;INDIV;lyrics;0
79803;1241;0;i'm not in love 10cc;TITLE;INDIV;10cc;0
79853;1241;0;10cc i'm not in love lyrics;ARTIST_TITLE;UNIV;lyrics;0
79903;1241;0;i'm not in love lyrics;TITLE;UNIV;lyrics;0
79953;1241;0;10cc i'm not in love reaction;ARTIST_TITLE;INDIV;reaction;1
80003;1241;0;i'm not in love kelsey lu;TITLE;INDIV;kelsey lu;1
80053;1241;0;10cc i'm not in love live;ARTIST_TITLE;UNIV;live;1
